x,y,xvar,yvar,cov,ts,mfgID,GID
189068.3447,1996923.997,1.7421,0.353,-0.2708,1/26/2017 8:34:40 AM,39,"""2017-39-2-026"""
189344.1388,1996934.938,0.6309,0.95,0.1216,1/26/2017 9:50:00 AM,64,"""2017-64-1-026"""
189064.9212,1996890.061,2.7883,0.9656,1.0073,1/26/2017 10:29:00 AM,39,"""2017-39-3-026"""
189054.3838,1996700.177,1.417,1.3386,-0.688,1/26/2017 10:47:00 AM,380,"""2017-380-4-026"""
189286.3581,1996476.04,5.2461,0.7367,-0.0703,1/26/2017 11:00:40 AM,44,"""2017-44-3-026"""
188645.0743,1997240.841,0.2806,1.3638,0.3733,1/26/2017 12:25:00 PM,52,"""2017-52-1-026"""
188563.8278,1997236.38,0,0,0,1/26/2017 12:34:40 PM,377,"""2017-377-1-026"""
189087.101,1996705.704,0.4368,0.4563,-0.2102,1/27/2017 7:08:20 AM,380,"""2017-380-1-027"""
189290.7226,1996437.769,1.2081,0.9251,0.5388,1/27/2017 7:26:40 AM,44,"""2017-44-1-027"""
189058.6315,1996912.319,3.0114,0.5951,-0.0906,1/27/2017 7:44:40 AM,39,"""2017-39-1-027"""
189076.5459,1996906.679,0.4708,0.2214,-0.0822,1/27/2017 8:53:20 AM,39,"""2017-39-2-027"""
189260.9921,1996471.579,0.601,0.4697,0.0882,1/27/2017 9:36:40 AM,44,"""2017-44-2-027"""
189094.8279,1996721.113,0.5399,1.5725,-0.1125,1/27/2017 11:46:20 AM,380,"""2017-380-3-027"""
189064.5883,1996929.101,3.863,1.0279,-1.4484,1/27/2017 12:00:00 PM,39,"""2017-39-3-027"""
188603.5576,1997145.968,4.4175,16.2958,-6.2295,1/27/2017 1:07:00 PM,52,"""2017-52-1-027"""
188479.3398,1996942.113,33.8808,2.4381,-4.8992,1/27/2017 1:41:00 PM,359,"""2017-359-1-027"""
188459.0879,1997331.689,5.0019,1.7956,1.8794,1/28/2017 6:29:40 AM,358,"""2017-358-1-028"""
188684.326,1997481.794,0,0,0,1/28/2017 6:38:40 AM,377,"""2017-377-1-028"""
188683.4439,1997182.577,10.1269,44.2561,-17.3263,1/28/2017 6:54:00 AM,52,"""2017-52-1-028"""
188921.3734,1997346.769,20.4094,10.5895,-12.7881,1/28/2017 7:17:20 AM,358,"""2017-358-2-028"""
188711.2446,1997278.375,8.2993,3.4138,1.7977,1/28/2017 7:40:40 AM,377,"""2017-377-2-028"""
188572.3685,1997194.716,0.038,0.6095,0.0846,1/28/2017 7:58:00 AM,52,"""2017-52-2-028"""
188968.1631,1997212.298,524.3488,901.4248,-670.7289,1/28/2017 10:09:20 AM,358,"""2017-358-3-028"""
188547.5706,1997293.407,2.5019,8.4271,-2.5794,1/28/2017 11:02:40 AM,377,"""2017-377-3-028"""
188617.4013,1997074.764,38.8764,280.0682,-92.6418,1/28/2017 11:17:20 AM,52,"""2017-52-3-028"""
189084.1729,1996701.321,0.3614,0.2878,-0.0257,1/29/2017 6:52:00 AM,380,"""2017-380-1-029"""
189049.3136,1996874.506,0,0,0,1/29/2017 7:12:20 AM,39,"""2017-39-1-029"""
189081.0586,1996737.781,8.7647,4.2418,4.9527,1/29/2017 9:50:00 AM,380,"""2017-380-3-029"""
189133.8456,1996897.274,104.2719,9.0261,21.8533,1/29/2017 10:03:00 AM,39,"""2017-39-3-029"""
189066.4736,1996688.484,0.7865,1.5106,0.4838,1/29/2017 11:55:40 AM,380,"""2017-380-4-029"""
189032.4337,1996915.648,1.1246,3.6995,-0.9692,1/29/2017 12:14:00 PM,39,"""2017-39-4-029"""
188926.657,1997220.295,4.6119,0.9697,-0.3459,1/29/2017 12:53:20 PM,358,"""2017-358-1-029"""
188593.3007,1997151.466,2.1444,9.0893,-2.4678,1/29/2017 1:31:20 PM,52,"""2017-52-1-029"""
188373.7507,1997408.814,0,0,0,1/29/2017 1:56:40 PM,364,"""2017-364-1-029"""
188322.2543,1997406.728,155.3484,35.6608,-67.1799,1/30/2017 6:44:20 AM,364,"""2017-364-1-030"""
188968.7438,1997340.813,72.0921,48.1406,56.228,1/30/2017 7:14:00 AM,358,"""2017-358-1-030"""
188626.9854,1997133.57,0,0,0,1/30/2017 7:40:00 AM,52,"""2017-52-1-030"""
188404.6373,1997402.419,1.1079,0.4755,-0.006,1/30/2017 8:07:40 AM,364,"""2017-364-2-030"""
188958.84,1997271.832,4.9959,2.6939,-1.725,1/30/2017 8:58:20 AM,358,"""2017-358-2-030"""
188641.8066,1997206.146,1.8046,9.4667,1.3761,1/30/2017 9:40:20 AM,52,"""2017-52-2-030"""
188960.8507,1997236.45,71.8418,588.142,-195.1203,1/30/2017 10:36:40 AM,358,"""2017-358-3-030"""
188577.3981,1997167.083,0.7805,2.5139,-0.3486,1/30/2017 10:56:20 AM,52,"""2017-52-3-030"""
188416.3304,1997436.254,1.1748,0.4581,0.2557,1/30/2017 11:10:00 AM,364,"""2017-364-3-030"""
188349.8665,1997416.005,10.2393,3.2737,-1.1959,2/1/2017 6:40:00 AM,364,"""2017-364-1-032"""
189142.2929,1997437.867,3733.0201,1330.2284,2200.216,2/1/2017 6:58:00 AM,358,"""2017-358-1-032"""
188577.5999,1997147.215,1.5961,10.6994,-0.4863,2/1/2017 7:37:00 AM,52,"""2017-52-1-032"""
188356.5387,1997398.028,5.8747,1.374,-0.9976,2/1/2017 7:59:00 AM,364,"""2017-364-2-032"""
189004.6271,1996935.704,31.6006,8.8912,-12.3414,2/1/2017 8:43:00 AM,39,"""2017-39-1-032"""
189098.9255,1996635.073,4.2728,15.8329,6.6476,2/1/2017 8:50:20 AM,380,"""2017-380-1-032"""
189041.7784,1996890.795,0.4899,0.6222,0.1389,2/1/2017 10:21:20 AM,39,"""2017-39-2-032"""
189294.9746,1996475.544,0.6509,1.2848,-0.2723,2/1/2017 10:47:40 AM,44,"""2017-44-2-032"""
189048.5767,1996703.732,2.3918,2.3951,-1.5256,2/1/2017 11:08:00 AM,380,"""2017-380-3-032"""
189300.1608,1996443.99,2.8691,1.5596,1.2119,2/1/2017 11:26:00 AM,44,"""2017-44-3-032"""
189046.7592,1996926.548,0.517,0.6621,-0.046,2/1/2017 11:44:20 AM,39,"""2017-39-3-032"""
188919.7214,1997247.072,0.6471,1.1101,-0.1446,2/1/2017 12:10:00 PM,358,"""2017-358-3-032"""
188493.4689,1997122.411,417.4049,38.929,111.7115,2/1/2017 12:41:20 PM,52,"""2017-52-2-032"""
188334.4698,1997398.4,25.1341,2.5315,3.1433,2/1/2017 1:43:00 PM,364,"""2017-364-3-032"""
189058.6053,1996703.412,1.3072,1.4681,-0.7174,2/2/2017 6:40:00 AM,380,"""2017-380-1-033"""
189320.9336,1996458.368,29.2217,3.377,5.5394,2/2/2017 6:50:00 AM,44,"""2017-44-1-033"""
189069.6844,1996929.545,6.7717,3.0794,2.8605,2/2/2017 7:06:00 AM,39,"""2017-39-1-033"""
189093.9197,1996755.581,5.1828,1.3669,0.0124,2/2/2017 7:14:40 AM,380,"""2017-380-2-033"""
189281.7602,1996436.195,0.6411,0.3659,0.1426,2/2/2017 7:26:00 AM,44,"""2017-44-2-033"""
189015.9371,1996987.588,61.7801,307.208,-128.9219,2/2/2017 7:56:20 AM,39,"""2017-39-2-033"""
189068.3974,1996717.262,4.3822,4.2658,3.1969,2/2/2017 8:09:00 AM,380,"""2017-380-3-033"""
189365.5951,1996420.563,65.7916,11.6623,-23.6857,2/2/2017 8:27:00 AM,44,"""2017-44-3-033"""
189057.503,1996684.976,0.3987,0.3908,-0.1102,2/2/2017 9:03:00 AM,380,"""2017-380-4-033"""
189050.7538,1996872.172,0.532,0.8786,0.2623,2/2/2017 9:16:00 AM,39,"""2017-39-3-033"""
189307.8314,1996563.101,13.8566,440.79,58.4908,2/2/2017 9:44:40 AM,44,"""2017-44-5-033"""
188570.5084,1997152.762,4.7839,2.8317,2.7097,2/2/2017 9:49:40 AM,52,"""2017-52-1-033"""
189055.3696,1996711.478,0.3039,1.1826,-0.2678,2/2/2017 9:58:20 AM,380,"""2017-380-5-033"""
189039.6417,1996914.844,1.2432,0.9834,-0.191,2/2/2017 10:11:00 AM,39,"""2017-39-4-033"""
188949.0972,1997247.434,4.8452,2.8847,-2.3237,2/2/2017 10:20:00 AM,358,"""2017-358-1-033"""
188266.2392,1997405.227,214.1976,5.8923,-0.039,2/2/2017 10:38:20 AM,364,"""2017-364-1-033"""
189054.6708,1996712.395,0.8984,1.6128,0.2689,2/3/2017 6:46:20 AM,380,"""2017-380-1-034"""
189250.2567,1996478.561,1.2951,6.483,-0.3322,2/3/2017 6:55:40 AM,44,"""2017-44-1-034"""
189052.7433,1996904.256,0.8313,5.1278,0.9233,2/3/2017 7:14:20 AM,39,"""2017-39-1-034"""
189306.4931,1996417.067,1.2915,0.7124,0.3807,2/3/2017 8:05:00 AM,44,"""2017-44-2-034"""
189080.0581,1996717.524,1.9176,1.9474,-1.0952,2/3/2017 8:37:20 AM,380,"""2017-380-3-034"""
189041.2873,1996907.502,1.7184,1.0465,0.0974,2/3/2017 8:49:20 AM,39,"""2017-39-2-034"""
189302.1391,1996433.613,0.5722,0.3454,-0.1975,2/3/2017 9:21:00 AM,44,"""2017-44-4-034"""
189063.2825,1996705.451,1.414,0.8809,0.2719,2/3/2017 9:33:40 AM,380,"""2017-380-4-034"""
189034.9827,1996907.323,0.9273,1.0865,0.0988,2/3/2017 9:44:20 AM,39,"""2017-39-3-034"""
188826.8835,1997313.37,20.6904,30.8438,-19.1229,2/3/2017 9:51:20 AM,358,"""2017-358-1-034"""
188832.1046,1997268.737,26.2898,1.6753,1.3733,2/3/2017 10:01:00 AM,358,"""2017-358-2-034"""
188646.3999,1997232.905,0,0,0,2/3/2017 10:08:00 AM,52,"""2017-52-1-034"""
188583.4589,1997146.92,2.33,1.5082,-1.0837,2/3/2017 10:18:00 AM,52,"""2017-52-2-034"""
188699.2205,1997424.748,1.3841,8.2153,-1.963,2/4/2017 6:48:40 AM,358,"""2017-358-1-035"""
189048.0819,1996735.966,7.7258,22.3074,-7.8505,2/4/2017 6:56:00 AM,380,"""2017-380-1-035"""
189246.5997,1996493.712,4.0168,1.2071,-1.5088,2/4/2017 7:11:40 AM,44,"""2017-44-1-035"""
188552.9207,1997154.815,14.9583,3.4793,2.5335,2/4/2017 7:14:20 AM,52,"""2017-52-1-035"""
189083.3707,1996931.541,2.0672,2.0365,0.5973,2/4/2017 7:33:00 AM,39,"""2017-39-1-035"""
188589.6594,1997165.57,0.2188,0.3086,-0.056,2/4/2017 7:48:20 AM,52,"""2017-52-2-035"""
188709.3894,1997380.087,0.5414,1.6161,-0.5023,2/4/2017 8:02:40 AM,358,"""2017-358-2-035"""
188953.6983,1997254.843,7.1933,1.0898,-0.8027,2/4/2017 8:46:00 AM,358,"""2017-358-3-035"""
189307.3145,1996471.488,8.8608,9.5368,8.1928,2/4/2017 9:37:40 AM,44,"""2017-44-3-035"""
189055.8546,1996911.314,1.2809,10.0975,1.8804,2/4/2017 9:53:40 AM,39,"""2017-39-2-035"""
189058.7298,1996729.608,0.9639,0.2932,0.378,2/4/2017 10:01:20 AM,380,"""2017-380-2-035"""
189075.2465,1996704.665,0.7684,0.8932,-0.4207,2/5/2017 6:40:00 AM,380,"""2017-380-1-036"""
188696.9202,1997418.826,1.0319,0.7369,-0.3352,2/5/2017 6:42:20 AM,358,"""2017-358-2-036"""
189264.3863,1996545.601,2.5477,4.5183,-0.0501,2/5/2017 6:54:20 AM,44,"""2017-44-1-036"""
189045.5251,1996899.486,1.1194,3.3895,0.664,2/5/2017 7:26:40 AM,39,"""2017-39-1-036"""
188497.7072,1997145.482,244.1647,7.4291,20.3636,2/5/2017 7:35:20 AM,52,"""2017-52-1-036"""
189067.7694,1996719.426,1.7531,0.4686,-0.2591,2/5/2017 7:40:20 AM,380,"""2017-380-2-036"""
189315.6782,1996436.008,1.0177,3.726,0.887,2/5/2017 8:00:20 AM,44,"""2017-44-2-036"""
189081.5655,1996723.329,2.0754,2.7171,-1.3193,2/5/2017 8:29:20 AM,380,"""2017-380-3-036"""
188577.221,1997151.11,6.0164,0.5096,0.4752,2/5/2017 8:34:40 AM,52,"""2017-52-3-036"""
189047.0469,1996859.066,0,0,0,2/5/2017 8:43:40 AM,39,"""2017-39-2-036"""
189080.375,1996903.99,6.5645,1.7984,-0.7148,2/5/2017 9:54:20 AM,39,"""2017-39-3-036"""
189266.9518,1996489.246,2.1238,2.2349,1.4196,2/5/2017 10:10:00 AM,44,"""2017-44-5-036"""
189084.464,1996719.944,1.0426,1.834,-0.7582,2/5/2017 10:20:20 AM,380,"""2017-380-4-036"""
188722.2335,1997317.571,12.7806,1.9923,-1.9421,2/7/2017 6:37:00 AM,358,"""2017-358-1-038"""
188588.733,1997166.665,0.7515,1.3103,0.5281,2/7/2017 6:53:20 AM,52,"""2017-52-1-038"""
188755.2829,1997361.511,1.0324,0.2962,0.471,2/7/2017 7:17:20 AM,358,"""2017-358-2-038"""
189279.8932,1996504.014,5.4784,7.0435,-5.0882,2/7/2017 7:28:20 AM,44,"""2017-44-1-038"""
188593.4623,1997171.606,4.5262,2.7269,-2.6814,2/7/2017 7:36:00 AM,52,"""2017-52-2-038"""
189136.747,1996866.502,0,0,0,2/7/2017 7:48:00 AM,39,"""2017-39-1-038"""
188728.023,1997335.077,1.3409,1.6129,-0.6471,2/7/2017 8:05:20 AM,358,"""2017-358-3-038"""
189067.1835,1996716.024,1.4468,0.595,-0.3887,2/7/2017 8:29:40 AM,380,"""2017-380-2-038"""
189062.8625,1996884.229,3.2312,3.8848,-2.2247,2/7/2017 8:40:20 AM,39,"""2017-39-2-038"""
189304.3535,1996444.588,0,0,0,2/7/2017 9:02:30 AM,44,"""2017-44-2-038"""
188571.4911,1997136.601,12.8578,2.2131,2.7737,2/7/2017 9:05:40 AM,52,"""2017-52-3-038"""
188752.0487,1997390.206,0,0,0,2/7/2017 9:41:00 AM,358,"""2017-358-5-038"""
189077.5006,1996699.865,1.3884,1.1631,0.1021,2/7/2017 9:43:20 AM,380,"""2017-380-3-038"""
188597.5534,1997067.363,17.9441,199.0995,46.5879,2/7/2017 10:10:00 AM,52,"""2017-52-4-038"""
188921.0892,1997257.73,0.83,0.4552,-0.0128,2/7/2017 10:40:20 AM,358,"""2017-358-6-038"""
188589.8579,1997155.393,1.2688,1.5924,0.7288,2/7/2017 6:37:00 PM,52,"""2017-52-5-038"""
188724.3495,1997416.313,0.1942,0.5397,-0.0623,2/7/2017 6:51:00 PM,358,"""2017-358-9-038"""
189061.7088,1996706.705,1.2535,1.7024,-0.7642,2/8/2017 6:45:40 AM,380,"""2017-380-1-039"""
188696.5305,1997372.384,0.2356,0.5142,0.0266,2/8/2017 6:50:40 AM,358,"""2017-358-1-039"""
188588.4518,1997143.75,3.2864,0.9032,0.3602,2/8/2017 7:12:40 AM,52,"""2017-52-1-039"""
189281.9893,1996461.093,0.4667,1.511,0.2142,2/8/2017 7:17:00 AM,44,"""2017-44-1-039"""
189078.48,1996890.785,1.8449,1.7644,1.0867,2/8/2017 7:40:00 AM,39,"""2017-39-1-039"""
189074.0577,1996695.196,1.0494,1.1115,0.1507,2/8/2017 7:52:20 AM,380,"""2017-380-2-039"""
188740.9345,1997388.936,0,0,0,2/8/2017 8:44:00 AM,358,"""2017-358-3-039"""
189069.5264,1996726.589,2.1772,2.9677,-0.8782,2/8/2017 8:51:00 AM,380,"""2017-380-3-039"""
188591.8857,1997135.235,2.7116,0.6783,-0.091,2/8/2017 9:22:20 AM,52,"""2017-52-3-039"""
188720.7923,1997421.12,1.7127,8.2573,2.9002,2/8/2017 6:43:00 PM,358,"""2017-358-4-039"""
188574.724,1997145.403,0.0124,0.7306,-0.0362,2/8/2017 6:57:40 PM,52,"""2017-52-4-039"""
189040.582,1996840.211,69.5549,820.7437,-217.811,2/9/2017 6:46:00 AM,380,"""2017-380-1-040"""
189270.7188,1996489.34,2.6141,7.3464,-2.8678,2/9/2017 7:15:40 AM,44,"""2017-44-1-040"""
189077.7686,1996707.292,0.8529,0.8964,-0.4177,2/9/2017 8:02:00 AM,380,"""2017-380-3-040"""
189002.8734,1996864.692,5.0124,3.5527,2.7629,2/9/2017 8:39:20 AM,39,"""2017-39-1-040"""
189022.3913,1996914.487,0.1724,0.5258,-0.0617,2/9/2017 9:19:40 AM,39,"""2017-39-2-040"""
188754.4807,1997396.919,0.2679,0.3047,0.065,2/9/2017 9:50:00 AM,358,"""2017-358-1-040"""
188561.0529,1997162.524,0.8496,1.8119,0.1314,2/9/2017 10:54:00 AM,52,"""2017-52-1-040"""
188576.196,1997169.005,4.3114,0.9055,0.4809,2/9/2017 12:07:20 PM,52,"""2017-52-2-040"""
188705.9594,1997350.92,0.1744,0.2085,-0.0061,2/10/2017 7:14:40 AM,358,"""2017-358-1-041"""
189078.9112,1996702.061,0,0,0,2/10/2017 7:29:00 AM,380,"""2017-380-1-041"""
189266.706,1996365.242,0,0,0,2/10/2017 7:55:30 AM,44,"""2017-44-1-041"""
188545.8533,1997177.715,0,0,0,2/10/2017 8:17:00 AM,52,"""2017-52-2-041"""
189043.4042,1996784.6,18.5742,34.2899,-18.8364,2/10/2017 8:52:00 AM,380,"""2017-380-2-041"""
188760.041,1997295.161,0.4691,0.4047,-0.3032,2/10/2017 8:58:20 AM,358,"""2017-358-3-041"""
189036.768,1996916.787,1.0194,0.9843,-0.1846,2/10/2017 9:24:20 AM,39,"""2017-39-1-041"""
188926.0388,1997243.512,1.6137,1.0553,-0.5466,2/10/2017 9:44:20 AM,358,"""2017-358-4-041"""
189056.4795,1996704.879,0.4351,0.877,-0.1045,2/10/2017 9:54:40 AM,380,"""2017-380-3-041"""
188597.4098,1997145.887,1.4142,0.6286,0.0971,2/10/2017 10:16:20 AM,52,"""2017-52-4-041"""
189260.8966,1996469.135,0.3771,2.1821,-0.2963,2/10/2017 7:15:40 PM,44,"""2017-44-3-041"""
189058.4647,1996741.983,0.2065,0.5522,0.1353,2/10/2017 7:40:20 PM,380,"""2017-380-4-041"""
188528.6241,1997155.293,56.1413,3.8247,4.2316,2/11/2017 8:44:00 AM,52,"""2017-52-1-042"""
188584.3782,1997139.521,0.5714,0.1663,0.1618,2/11/2017 10:06:00 AM,52,"""2017-52-2-042"""
189054.0854,1996704.365,1.7861,1.7459,-0.9856,2/13/2017 6:42:00 AM,380,"""2017-380-1-044"""
189301.3307,1996432.589,17.4061,25.9171,-18.9641,2/13/2017 6:52:20 AM,44,"""2017-44-1-044"""
188596.3427,1997150.025,0.0868,0.6206,0.1574,2/13/2017 6:56:00 AM,52,"""2017-52-1-044"""
189121.592,1996752.497,48.4388,22.4476,28.9141,2/13/2017 7:17:00 AM,380,"""2017-380-2-044"""
189064.6431,1996920.196,2.7025,3.3425,1.8044,2/13/2017 8:07:20 AM,39,"""2017-39-2-044"""
189055.4653,1996722.218,1.1136,0.2518,-0.4584,2/13/2017 8:21:40 AM,380,"""2017-380-3-044"""
189301.6746,1996429.788,0.9077,3.3613,-0.6336,2/13/2017 8:56:00 AM,44,"""2017-44-2-044"""
189308.275,1996449.289,4.6965,5.3036,3.8084,2/13/2017 9:48:20 AM,44,"""2017-44-4-044"""
189203.7834,1996751.254,0,0,0,2/13/2017 9:59:40 AM,380,"""2017-380-4-044"""
189040.6838,1996903.469,1.7334,0.2754,0.0058,2/13/2017 10:08:00 AM,39,"""2017-39-3-044"""
189307.276,1996421.767,0.4402,0.713,-0.0912,2/14/2017 7:16:40 AM,44,"""2017-44-1-045"""
189084.9908,1996737.89,2.3919,4.6693,-1.4309,2/14/2017 7:44:00 AM,380,"""2017-380-2-045"""
189298.059,1996448.474,4.877,2.8917,-2.2673,2/14/2017 8:02:00 AM,44,"""2017-44-2-045"""
189048.2006,1996911.959,0.6691,0.6038,-0.0713,2/14/2017 8:32:40 AM,39,"""2017-39-1-045"""
189049.7629,1996876.114,5.2503,0.8986,-0.2316,2/14/2017 9:05:00 AM,39,"""2017-39-2-045"""
188575.6885,1997116.736,9.7146,5.3602,5.5498,2/14/2017 10:48:40 AM,52,"""2017-52-3-045"""
188590.6561,1997145.603,0,0,0,2/14/2017 11:27:40 AM,52,"""2017-52-4-045"""
188601.0626,1997394.503,2.3908,0.2391,-0.4725,2/15/2017 12:46:40 PM,356,"""2017-356-1-046"""
188522.4194,1997410.962,1.0547,2.0916,-1.164,2/15/2017 1:04:20 PM,357,"""2017-357-1-046"""
188639.4769,1997491.774,8.534,6.3664,-5.5464,2/15/2017 1:40:20 PM,367,"""2017-367-1-046"""
188557.2063,1997444.211,67.6444,25.0821,34.4611,2/16/2017 7:15:40 AM,357,"""2017-357-1-047"""
188528.3834,1997392.109,24.1664,2.3677,-1.1913,2/16/2017 7:21:20 AM,356,"""2017-356-1-047"""
188503.8555,1997157.076,6.2398,6.0295,-4.9562,2/18/2017 8:21:40 AM,372,"""2017-372-1-049"""
188688.351,1997435.214,44.0977,335.1144,106.4519,2/18/2017 10:53:00 AM,356,"""2017-356-1-049"""
188614.8981,1997397.819,0,0,0,2/18/2017 11:00:00 AM,357,"""2017-357-1-049"""
188645.932,1997468.405,0.4209,0.5779,0.0144,2/18/2017 11:55:00 AM,367,"""2017-367-1-049"""
188638.8438,1997507.144,5.1603,3.5543,-1.3752,2/19/2017 7:06:40 AM,367,"""2017-367-1-050"""
188491.8052,1996991.031,13.3246,166.7775,-33.8149,2/19/2017 7:09:40 AM,54,"""2017-54-1-050"""
188639.288,1997221.885,0.8587,1.2651,0.573,2/19/2017 7:23:40 AM,372,"""2017-372-2-050"""
188671.1255,1997055.183,1.4997,0.4684,0.801,2/19/2017 11:49:20 AM,41,"""2017-41-1-050"""
188598.5264,1997164.407,0.9054,1.638,0.257,2/21/2017 6:36:40 AM,372,"""2017-372-1-052"""
188582.0148,1997151.249,3.3143,6.2409,-2.9585,2/21/2017 6:44:20 AM,52,"""2017-52-1-052"""
188516.7103,1997072.511,5.2595,3.4797,-3.3939,2/21/2017 7:18:40 AM,54,"""2017-54-1-052"""
188648.3208,1997414.046,0.2947,0.3447,0.1208,2/21/2017 8:00:00 AM,356,"""2017-356-2-052"""
188604.9697,1997046.291,0.8022,0.3906,0.0669,2/21/2017 8:25:00 AM,67,"""2017-67-1-052"""
188482.3256,1997085.146,1.5955,4.9795,-1.5951,2/21/2017 9:03:00 AM,54,"""2017-54-2-052"""
188534.281,1997287.247,0.4425,0.2588,0.1112,2/21/2017 9:50:20 AM,41,"""2017-41-2-052"""
188833.895,1997238.491,0,0,0,2/21/2017 10:20:30 AM,356,"""2017-356-4-052"""
188480.2623,1997053.184,0.9993,2.0214,0.6222,2/21/2017 11:02:40 AM,54,"""2017-54-3-052"""
188535.7155,1997286.488,10.4106,2.1844,-3.4534,2/21/2017 11:21:20 AM,41,"""2017-41-3-052"""
188705.6516,1997317.915,0,0,0,2/22/2017 7:10:00 AM,38,"""2017-38-1-053"""
188675.0724,1997213.354,0,0,0,2/22/2017 7:32:20 AM,67,"""2017-67-1-053"""
188732.5117,1997180.392,1.8741,1.2835,-1.0654,2/22/2017 7:43:20 AM,63,"""2017-63-1-053"""
188643.2587,1997210.918,10.6281,16.3777,9.9821,2/22/2017 9:39:20 AM,372,"""2017-372-1-053"""
188566.5353,1997217.694,0.3485,1.5657,-0.0381,2/22/2017 9:44:40 AM,52,"""2017-52-1-053"""
188336.7982,1997317.722,2570.2032,388.4804,-949.1369,2/22/2017 9:50:40 AM,41,"""2017-41-1-053"""
188645.5578,1997205.147,1.4378,0.5425,0.1035,2/22/2017 10:19:40 AM,52,"""2017-52-2-053"""
188255.462,1996770.277,8760.1286,22624.2774,14012.2645,2/22/2017 4:14:20 PM,367,"""2017-367-1-053"""
188429.2189,1997036.493,1.9538,3.9467,-1.3483,2/22/2017 4:27:20 PM,54,"""2017-54-1-053"""
188560.0012,1997392.894,0,0,0,2/22/2017 4:39:40 PM,357,"""2017-357-1-053"""
188622.9879,1997446.228,0.2339,0.0887,0.044,2/22/2017 4:46:20 PM,356,"""2017-356-1-053"""
188398.0556,1997263.135,0.4588,0.9435,-0.0267,2/23/2017 4:37:00 PM,367,"""2017-367-1-054"""
188630.2544,1997304.046,15.8761,489.691,-57.9932,2/24/2017 8:00:20 AM,372,"""2017-372-1-055"""
188565.944,1997296.457,0.3781,0.2654,0.2861,2/24/2017 8:20:20 AM,41,"""2017-41-1-055"""
188550.9459,1997413.475,2.5456,7.1301,2.403,2/24/2017 8:25:00 AM,367,"""2017-367-2-055"""
188472.1456,1997081.324,0.984,3.3568,-0.3226,2/24/2017 9:47:40 AM,54,"""2017-54-1-055"""
188575.4556,1997421.286,4.1777,4.1529,-2.1567,2/24/2017 3:32:00 PM,357,"""2017-357-1-055"""
188461.5469,1997439.221,1344.0617,70.926,-293.8883,2/24/2017 3:48:00 PM,367,"""2017-367-3-055"""
188574.9466,1997280.206,0,0,0,2/24/2017 4:29:20 PM,41,"""2017-41-2-055"""
188523.1596,1997437.753,4.0864,32.7469,1.7273,2/25/2017 7:07:00 AM,367,"""2017-367-2-056"""
188632.5693,1997182.233,2.7646,0.8617,0.5992,2/25/2017 8:29:00 AM,372,"""2017-372-2-056"""
