ts,tagID,fix,bearing,longitude,latitude,plotlocation
5/2/16 8:25,379,2,NA,-77.94059,18.04215,NA
5/2/16 9:23,49,3,NA,-77.94019,18.04041,NA
5/2/16 9:42,371,4,NA,-77.93952,18.04214,NA
5/3/17 9:20,79,1,NA,-77.93969,18.04407,NA
5/3/17 11:55,49,1,NA,-77.93997878,18.04029745,MII E 10
2/22/16 10:00,516,NA,NA,-77.94282453,18.04173359,MM A 3.5
2/23/16 7:31,516,NA,NA,-77.9433,18.04336,MM A 0.5
2/23/16 7:15,516,NA,NA,-77.9425,18.04288,LII K 5
2/23/16 6:45,516,NA,NA,-77.9426,18.04252,LII J.5 5
2/23/16 8:10,516,NA,NA,-77.9428,18.04378,LII L 5
2/23/16 8:21,516,NA,NA,-77.9426,18.04343,LII L 5
2/24/16 7:30,516,NA,NA,-77.942,18.04505,LIIR
2/24/16 7:59,516,NA,NA,-77.9421,18.0452,LIIR
2/24/16 8:03,516,NA,NA,-77.9422,18.04536,LIIR
2/24/16 8:13,516,NA,NA,-77.9422,18.045,LIIR
2/24/16 8:24,516,NA,NA,-77.9421,18.04447,LIIR
2/24/16 9:27,516,NA,NA,-77.942,18.04532,LIIR
2/24/16 9:36,516,NA,NA,-77.9418,18.045,LIIR
2/24/16 10:03,516,NA,NA,-77.9423,18.04469,LIIR
2/24/16 10:14,516,NA,NA,-77.9419,18.04469,LIIR
2/24/16 13:10,516,NA,NA,-77.9421,18.04522,LIIR
2/25/16 6:40,516,NA,NA,-77.9419,18.04477,LIIR
2/25/16 7:31,516,NA,NA,-77.941,18.04562,LIIR
2/25/16 7:58,516,NA,NA,-77.9409,18.04467,LIIR
2/25/16 8:06,516,NA,NA,-77.9407,18.04428,LII
2/25/16 8:16,516,NA,NA,-77.9409,18.04407,LII
2/25/16 9:20,516,NA,NA,-77.9398,18.04452,LII
2/26/16 7:26,516,NA,NA,-77.9412,18.04468,NA
2/26/16 7:36,516,NA,NA,-77.9408,18.04509,LIIR
2/26/16 7:50,516,NA,NA,-77.9408,18.04506,LIIR
2/26/16 8:41,516,NA,NA,-77.9409,18.0449,LIIR
2/26/16 9:36,516,NA,NA,-77.9409,18.04496,LIIR
2/26/16 10:24,516,NA,NA,-77.941,18.04477,LIIR
2/26/16 10:33,516,NA,NA,-77.9407,18.04494,LIIR
2/27/16 7:20,516,NA,NA,-77.9407,18.04479,LIIR
2/27/16 8:19,516,NA,NA,-77.9405,18.04502,LIIR
2/27/16 9:20,516,NA,NA,-77.9406,18.04508,LIIR
2/27/16 9:30,516,NA,NA,-77.9404,18.04491,IRI
2/27/16 10:52,516,NA,NA,-77.9402,18.04495,IRI
2/29/16 7:25,516,NA,NA,-77.9429,18.04504,CTI
2/29/16 7:55,516,NA,NA,-77.9429,18.04461,CTI
2/29/16 8:32,516,NA,NA,-77.9416,18.0443,LIIR
2/29/16 9:01,516,NA,NA,-77.9413,18.04408,LIIR
2/29/16 10:42,516,NA,NA,-77.9424,18.04461,LIIR
3/1/16 7:07,516,NA,NA,-77.9426,18.04487,LIIR
3/1/16 10:27,516,NA,NA,-77.9408,18.04492,LIIR
3/16/16 9:21,467,21,NA,-77.9423,18.03736,RDV
3/16/16 9:53,467,23,NA,-77.9423,18.03751,RDV
3/16/16 10:25,467,25,NA,-77.9423,18.03768,RDV
3/25/16 16:40,42,6,NA,-77.9365,18.03798,MI
3/25/16 17:26,42,7,NA,-77.9365,18.03808,MI
3/25/16 18:04,42,8,NA,-77.9366,18.03797,MI
3/26/16 7:17,42,9,NA,-77.9365,18.03811,MI
3/26/16 7:42,56,36,NA,-77.9355,18.03437,LI
3/26/16 8:02,42,10,NA,-77.9365,18.03804,MI
3/26/16 10:25,467,39,NA,-77.9421,18.03764,RDV B 2
3/26/16 10:50,467,40,NA,-77.942,18.03732,RDV B.5 2
3/29/16 8:10,42,12,NA,-77.9365,18.03806,MI
3/29/16 9:05,42,13,NA,-77.9368,18.03731,MI
3/30/16 9:11,45,33,NA,-77.9431,18.04286,MM
3/30/16 10:03,34,26,NA,-77.9425,18.04061,MII
3/30/16 12:07,42,14,NA,-77.9368,18.03782,MI
