plotlocation,x,y,longitude,latitude
CTI C 8,188454.2068,1997831.952,-77.94264826,18.0466973
CTI C 8.5,188477.2063,1997837.904,-77.94243212,18.04675433
CTI C 9,188503.346,1997834.398,-77.94218494,18.04672644
CTI D 7,188409.8406,1997784.833,-77.94305982,18.04626561
CTI D 7.5,188432.1804,1997780.288,-77.94284834,18.04622779
CTI D 8,188456.689,1997783.307,-77.94261752,18.04625857
CTI D 8.5,188481.8241,1997783.639,-77.9423804,18.04626517
CTI D 9,188505.8067,1997785.034,-77.9421543,18.04628121
IRI L.5 10,188707.1586,1997476.983,-77.94020807,18.04352948
IRI L.5 11,188753.3859,1997479.845,-77.93977229,18.04356195
IRI L.5 12,188798.7275,1997474.712,-77.93934368,18.04352212
IRI L 10,188702.4655,1997448.174,-77.94024803,18.04326875
IRI L 10.5,188722.844,1997456.042,-77.94005691,18.0433427
IRI L 11,188747.7287,1997456.986,-77.93982224,18.0433548
IRI L 11.5,188771.3881,1997453.197,-77.93959842,18.043324
IRI L 12,188798.3086,1997449.488,-77.93934385,18.04329437
IRI M.5 10,188716.8867,1997542.434,-77.9401261,18.04412167
IRI M.5 11,188760.7889,1997532.92,-77.9397104,18.0440421
IRI M.5 12,188805.5251,1997520.058,-77.93928634,18.04393242
IRI M 10,188708.7878,1997516.848,-77.94019868,18.04388955
IRI M 10.5,188732.7155,1997515.704,-77.93997272,18.04388266
IRI M 11,188753.1049,1997506.29,-77.93977891,18.04380062
IRI M 11.5,188780.7411,1997500.823,-77.93951732,18.04375524
IRI M 12,188804.2288,1997486.914,-77.9392936,18.04363306
IRI N 10,188720.4022,1997547.991,-77.94009376,18.04417234
IRI N 10.5,188745.5268,1997553.319,-77.93985748,18.04422404
IRI N 11,188764.8679,1997552.665,-77.93967488,18.04422092
IRI N 11.5,188791.536,1997557.784,-77.93942401,18.04427095
IRI N 11.75,188801.8798,1997565.526,-77.93932756,18.04434232
IRI N 12,188813.711,1997556.07,-77.9392145,18.04425867
