plotlocation,x,y,longitude,latitude
MII F 8.5,188649.479,1997162.035,-77.94070505,18.04067827
MII F 9,188672.5847,1997160.305,-77.94048677,18.04066598
MII F 9.5,188689.7866,1997164.134,-77.94032503,18.04070301
MII E 8.5,188648.4635,1997112.84,-77.94070725,18.04023406
MII D.5 8.5,188644.8315,1997083.287,-77.94073708,18.03996678
MII D 8.5,188646.8874,1997060.64,-77.94071428,18.03976264
MII C.5 8.5,188650.0348,1997036.599,-77.94068097,18.03954609
MII C 8.5,188649.7708,1997005.611,-77.94067881,18.03926633
MII C 9,188678.624,1997009.002,-77.94040707,18.03930108
MII C.5 9,188675.225,1997034.628,-77.94044299,18.03953192
MII D 9,188675.4917,1997058.021,-77.94044398,18.03974311
MII D.5 9,188669.6506,1997087.651,-77.94050355,18.04000974
MII E 9,188674.5159,1997112.156,-77.94046132,18.04023163
MII E 9.5,188704.2126,1997111.094,-77.94018094,18.0402263
MII E 10,188725.7576,1997118.632,-77.93997878,18.04029745
MII C.5 9.5,188702.7543,1997034.584,-77.94018322,18.03953547
MII C 9.5,188706.8758,1997009.979,-77.94014064,18.03931396
MII C 10,188733.4702,1997015.366,-77.93989051,18.03936641
MM A 0.5,188424.0496,1997438.95,-77.94287377,18.04314549
MM A.5 0.5,188398.6024,1997433.049,-77.943113,18.04308857
MM B 0.5,188375.237,1997433.86,-77.9433336,18.04309253
MM B 1,188377.9557,1997409.038,-77.94330422,18.04286886
MM A.5 1,188400.3851,1997408.726,-77.94309253,18.04286927
MM A 1,188425.6141,1997410.693,-77.94285476,18.04289066
MM A 1.5,188424.2107,1997382.259,-77.94286373,18.04263379
MM A.5 1.5,188401.3393,1997384.402,-77.94307987,18.04264985
MM B 1.5,188374.9518,1997384.402,-77.94332886,18.04264606
MM B 2,188374.5616,1997363.583,-77.94332941,18.04245807
MM A 2,188428.5994,1997355.798,-77.94281835,18.04239557
MM A 2.5,188420.3938,1997330.495,-77.94289197,18.04216598
MM B 2.5,188375.049,1997330.683,-77.94331987,18.04216117
MM C 3,188327.1522,1997312.605,-77.9437691,18.0419911
MM B.5 3,188357.3094,1997304.468,-77.94348332,18.04192199
MM B 3,188377.1887,1997309.323,-77.94329647,18.04196866
MM A 3,188424.7427,1997307.331,-77.94284746,18.04195752
MM A 3.5,188426.7768,1997282.491,-77.94282453,18.04173359
MM B 3.5,188375.6144,1997281.487,-77.94330714,18.04171718
MM B.5 3.5,188356.3148,1997282.22,-77.94348936,18.04172102
MM C 3.5,188333.569,1997285.238,-77.94370444,18.04174498
MM C 4,188342.1921,1997259.913,-77.94361927,18.04151763
MM B 4,188378.7541,1997252.756,-77.9432732,18.04145829
MM A 4,188432.4323,1997255.293,-77.94276708,18.04148889
MM A 4.5,188431.1375,1997237.919,-77.94277669,18.04133189
MM B 4.5,188381.3608,1997236.397,-77.94324614,18.04131099
MM B.5 4.5,188366.3674,1997235.242,-77.94338745,18.04129841
MM C 4.5,188341.0757,1997235.41,-77.94362612,18.04129629
MM C 5,188348.3275,1997212.857,-77.94355431,18.04109376
MM B 5,188388.2956,1997215.603,-77.94317758,18.04112428
MM A 5,188429.3911,1997215.803,-77.94278984,18.041132
MM A 5.5,188432.5356,1997188.433,-77.94275606,18.04088539
MM B 5.5,188389.0375,1997184.909,-77.94316597,18.04084733
MM B.5 5.5,188368.4259,1997185.297,-77.94336052,18.04084787
MM C,188342.1628,1997181.683,-77.94360779,18.04081147
MM C 6,188342.6289,1997163.239,-77.94360062,18.04064505
MM B.5 6,188368.703,1997162.801,-77.94335452,18.04064484
MM B 6,188393.5353,1997158.647,-77.94311959,18.04061092
MM A 6,188434.0499,1997160.817,-77.94273762,18.04063633
MM A 6.5,188434.0565,1997135.029,-77.94273369,18.04040355
MM B 6.5,188394.5963,1997135.432,-77.94310609,18.04040152
MM B.5 6.5,188371.2065,1997133.593,-77.94332651,18.04038156
MM C 6.5,188343.9796,1997135.807,-77.94358375,18.04039763
MM B.5 7,188373.2169,1997114.465,-77.94330467,18.04020919
MM B 7,188395.8112,1997112.642,-77.9430912,18.04019598
MM A.5 7,188416.5045,1997113.327,-77.94289604,18.04020513
MM A 7,188442.0704,1997112.122,-77.94265463,18.04019793
MM A 7.5,188448.7658,1997089.546,-77.94258806,18.03999511
MM A.5 7.5,188415.0275,1997085.386,-77.94290578,18.03995271
MM B 7.5,188398.743,1997089.954,-77.94306013,18.0399916
MM B 8,188394.9516,1997063.077,-77.94309186,18.03974845
MM B 8.5,188392.3498,1997040.421,-77.94311301,18.03954357
MM B 9,188395.7452,1997016.638,-77.9430774,18.03932938
MM B 9.5,188403.516,1996995.633,-77.94300092,18.03914089
MM A 8,188456.7247,1997065.295,-77.94250932,18.03977735
MM A 8.5,188456.2373,1997041.978,-77.94251042,18.03956681
MP1 D 1,189252.2313,1997102.938,-77.93500869,18.0402313
MP1 D 1.5,189240.6491,1997128.666,-77.93512183,18.04046188
MP1 D 2,189233.1968,1997147.578,-77.93519499,18.04063152
MP1 C.5 2,189211.932,1997138.757,-77.93539432,18.04054885
MP1 C 2,189195.4119,1997130.915,-77.93554902,18.04047569
MP1 C 2.5,189186.0868,1997155.613,-77.93564072,18.04069729
MP1 C.5 2.5,189209.0507,1997163.048,-77.93542514,18.0407677
MP1 B.5 2.5,189163.6485,1997148.845,-77.93585143,18.04063299
MP1 B 2.5,189140.4631,1997142.289,-77.93606922,18.04057049
MP1 B.5 2,189172.2294,1997125.553,-77.93576697,18.04042397
MP1 B 2,189148.7058,1997118.124,-77.93598782,18.04035354
MP1 A.5 2,189127.6698,1997113.971,-77.93618569,18.04031303
MP1 B 1.5,189154.5308,1997093.343,-77.93592914,18.04013069
MP1 B 1,189155.0689,1997075.035,-77.93592132,18.0399655
MP1 B.5 1.5,189178.5074,1997100.488,-77.93570397,18.04019862
MP1 B.5 1,189182.9965,1997077.943,-77.93565824,18.03999575
MP1 C 1,189204.6847,1997086.994,-77.93545495,18.04008056
MP1 C 0.5,189205.6451,1997063.576,-77.93544237,18.03986931
MP1 C.5 0.5,189230.3662,1997072.817,-77.93521049,18.03995628
MP1 C.5 1,189230.0696,1997090.574,-77.93521595,18.04011652
MP1 C.5 1.5,189213.7037,1997121.365,-77.93537499,18.04039211
MP1 C 1.5,189200.6636,1997111.589,-77.93549657,18.040302
RDV B.5 2.5,188907.4322,1996868.506,-77.93822701,18.03806572
RDV B 2.5,188903.9036,1996854.546,-77.93825821,18.0379392
RDV B 2,188883.0508,1996871.075,-77.93845745,18.03808541
RDV B.5 2,188899.0137,1996892.618,-77.93831006,18.03828216
RDV B.5 1.5,188880.3,1996907.782,-77.93848891,18.03841636
RDV B 1.5,188858.6859,1996888.449,-77.93868996,18.03823874
RDV A.5 1.5,188846.5931,1996869.542,-77.93880123,18.03806634
RDV A.5 1,188830.0052,1996887.15,-77.93896039,18.0382229
RDV B 1,188843.6297,1996905.148,-77.93883453,18.03838732
RDV B.5 1,188861.3137,1996923.53,-77.93867043,18.03855579
RDV B.5 0.5,188843.4934,1996940.189,-77.93884107,18.0387036
RDV B 0.5,188826.3427,1996920.58,-77.93899996,18.03852413
RDV A.5 0.5,188807.1199,1996907.348,-77.93917936,18.03840194
RDV A.5 0,188790.1738,1996921.454,-77.93934137,18.03852683
RDV B 0,188804.2074,1996936.505,-77.93921121,18.03866471
RDV B.5 0,188824.631,1996955.531,-77.93902136,18.03883938
RDVI M.5 1.5,188576.0108,1996835.311,-77.94134923,18.0377185
RDVI M.5 2,188603.4224,1996835.256,-77.94109058,18.03772194
RDVI M2,188609.5767,1996810.994,-77.94102886,18.03750382
RDVI L.5 2,188607.7277,1996783.385,-77.94104217,18.03725434
RDVI L2,188610.461,1996759.679,-77.94101282,18.03704075
RDVI L 1.5,188586.5797,1996755.349,-77.9412375,18.03699823
RDVI L1,188562.0117,1996755.966,-77.94146941,18.03700028
RDVI L.5 1.5,188581.4892,1996782.527,-77.94128961,18.03724283
RDVI L.5 1,188554.6228,1996781.456,-77.94154296,18.03722931
RDVI M 1,188551.7551,1996805.315,-77.9415736,18.03744425
RDVI M.5 1,188550.0834,1996829.809,-77.94159305,18.03766512
RDVI M 1.5,188576.0955,1996810.391,-77.94134469,18.03749358
RDVI N 1.5,188571.5225,1996858.915,-77.94139512,18.03793092
RDVII Y 2.5,188505.3218,1996870.243,-77.94202148,18.03802367
RDVII Y 2,188479.3821,1996879.238,-77.94226759,18.03810114
RDVII X.5 2,188468.5609,1996859.261,-77.94236669,18.03791925
RDVII X.5 2.5,188497.1477,1996846.604,-77.94209505,18.03780911
RDVII X 2.5,188481.7696,1996824.042,-77.94223677,18.03760325
RDVII X 2,188457.933,1996834.65,-77.94246328,18.03769558
RDVII X 1.5,188430.0971,1996846.274,-77.94272767,18.03779651
RDVII X.5 1.5,188444.8591,1996867.337,-77.94259155,18.03798875
URI C 3,189319.7456,1996782.523,-77.93432364,18.03734869
URI C 2.5,189293.2769,1996782.644,-77.93457341,18.03734599
URI C 2,189264.1108,1996783.444,-77.93484874,18.03734903
URI C.5 2,189261.8615,1996805.549,-77.93487327,18.03754824
URI C.5 2.5,189286.5934,1996805.058,-77.93463983,18.03754736
URI C.5 3,189311.5827,1996806.264,-77.93440422,18.03756182
URI D 3,189311.4695,1996834.882,-77.93440958,18.03782013
URI D 2.5,189283.6094,1996832.256,-77.93467206,18.03779243
URI D 2,189259.5768,1996831.247,-77.93489868,18.03777988
URI D 3.5,189340.3699,1996833.596,-77.93413669,18.03781266
URI D.5 3.5,189341.3891,1996857.391,-77.93413063,18.0380276
URI D.5 4,189361.387,1996858.386,-77.93394209,18.03803944
URI E 4,189358.381,1996882.938,-77.93397413,18.03826064
URI E.5 4,189358.6097,1996908.547,-77.9339758,18.03849183
URI E.5 3.5,189335.2625,1996907.056,-77.93419588,18.03847503
URI E.5 3,189309.4051,1996905.803,-77.93443968,18.03846001
URI E.5 2.5,189283.9457,1996905.803,-77.93467991,18.03845637
URI F 2.5,189277.2062,1996924.306,-77.93474627,18.03862243
URI F 3,189304.3941,1996927.956,-77.93449028,18.03865927
URI F 3.5,189331.194,1996931.516,-77.93423793,18.03869524
URI F 4,189356.6461,1996934.381,-77.9339982,18.03872475
URI F.5 3.5,189329.8519,1996956.779,-77.93425438,18.03892309
URI F.5 4,189356.8054,1996959.38,-77.93400044,18.03895044
URI G 4,189358.5411,1996984.13,-77.93398777,18.03917409
URI G.5 4,189362.7065,1997007.765,-77.933952,18.03938803
URI H 4,189365.7276,1997034.77,-77.93392754,18.03963223
URI H.5 4,189362.657,1997061.981,-77.93396059,18.03987742
URI I 4,189390.5218,1997079.228,-77.93370025,18.04003709
URII Z.5 7,189038.4997,1997115.093,-77.93702726,18.04031037
URII A 6,189035.5651,1997172.824,-77.9370636,18.04083107
URII A 5,189061.6354,1997216.62,-77.93682417,18.04123014
URII A 4.5,189076.8712,1997237.705,-77.93668357,18.04142265
URII A.5 4.5,189054.3881,1997247.267,-77.93689715,18.04150574
URII A 4,189087.4151,1997261.843,-77.9365877,18.04164205
URII A.5 3.5,189076.582,1997296.756,-77.93669515,18.04195564
URII A 3.5,189097.3939,1997284.326,-77.93649691,18.04184643
URII A.5 3,189087.5517,1997316.693,-77.93659463,18.04213718
URII A 3,189109.2433,1997308.103,-77.93638866,18.04206276
URII A.5 2.5,189104.4848,1997337.735,-77.93643801,18.04232955
URII A 2.5,189124.7907,1997325.947,-77.93624463,18.04222606
URII A 2,189126.8976,1997350.132,-77.93622838,18.04244467
URII Z.5 2,189146.2841,1997339.225,-77.93604381,18.04234899
URII Z.5 1.5,189163.0503,1997361.442,-77.93588894,18.04255195
URII A 1.5,189142.1451,1997374.293,-77.93608812,18.04266495
URII A.5 1,189130.1067,1997406.766,-77.93620659,18.04295634
URII A 0.5,189160.6761,1997419.783,-77.93592008,18.04307823
URII A.5 0.5,189137.4436,1997430.1,-77.93614085,18.04316803
URII A.5 0,189156.8022,1997451.602,-77.93596141,18.0433649
URII A.5 4,189062.9792,1997272.092,-77.93681981,18.04173107
URII A 5.5,189049.4829,1997191.854,-77.93693513,18.04100485
URIII E.5 4.5,188937.0503,1997318.343,-77.93801501,18.04213049
URIII E 4.5,188922.5356,1997331.716,-77.93815397,18.04224912
URIII E 4,188942.1437,1997344.585,-77.93797088,18.0423681
URIII D.5 4,188931.5316,1997363.298,-77.93807382,18.04253549
URIII D 4,188918.7765,1997381.027,-77.93819684,18.04269369
URIII D 3.5,188938.5486,1997396.494,-77.93801259,18.04283615
URIII C.5 3,188944.9678,1997428.371,-77.9379568,18.04312481
URIII C.5 2.5,188959.2592,1997447.61,-77.93782483,18.04330052
URIII C.5 2,188981.4951,1997462.665,-77.93761727,18.04343961
URIII C.5 1.5,188993.4416,1997478.691,-77.93750695,18.04358599
URIII C.5 1,189014.2053,1997490.088,-77.93731273,18.04369184
URIII C.5 0.5,189035.3537,1997503.018,-77.93711511,18.0438116
URIII D 0.5,189053.1888,1997481.783,-77.93694363,18.04362247
URIII D.5 0.5,189065.4472,1997462.069,-77.93682501,18.04344628
URIII E 0.5,189065.8718,1997436.107,-77.93681711,18.04321199
URIII E.5 0.5,189076.2888,1997418.747,-77.93671621,18.04305677
URIII C 0.5,189026.051,1997519.322,-77.93720534,18.04395743
URIII C 1,189006.2433,1997507.421,-77.93739046,18.04384716
URIII C 1.5,188985.2345,1997493.532,-77.93758662,18.04371877
URIII C 2,188967.2559,1997482.239,-77.93775457,18.04361426
URIII C 2.5,188951.2498,1997467.908,-77.93790345,18.0434826
URIII C 3,188927.1913,1997451.665,-77.93812803,18.04333253
URIII C.5 3.5,188923.2287,1997415.841,-77.93816005,18.04300858
URIV Y 3,189390.889,1997079.361,-77.9336968,18.04003834
URIV Y.5 3,189384.5071,1997106.418,-77.93376107,18.04028167
URIV Z 3,189396.5066,1997129.396,-77.93365129,18.0404908
URIV Z 3.5,189376.1775,1997142.383,-77.93384505,18.04060511
URIV Y.5 3.5,189364.7735,1997123.859,-77.93394989,18.04043627
URIV Y 3.5,189354.0288,1997100.107,-77.93404772,18.04022033
URIV X.5 3.5,189337.6365,1997076.874,-77.93419891,18.04000827
URIV X 3.5,189326.1414,1997055.009,-77.9343041,18.03980925
URIV X 4,189305.9733,1997072.193,-77.93449698,18.03996147
URIV X.5 4,189316.683,1997094.739,-77.9343993,18.04016653
URIV Y 4,189327.4696,1997116.207,-77.93430074,18.04036186
URIV Y.5 4,189344.0508,1997138.041,-77.93414755,18.04056132
URIV Z 4,189357.4424,1997157.537,-77.93402411,18.04073922
URIV X.5 4.5,189295.0885,1997105.73,-77.93460471,18.04026264
URIV X 4.5,189282.4648,1997085.045,-77.93472073,18.04007412
CTI A.5 8,188442.3556,1997910.757,-77.94277193,18.04740694
CTI A.5 9,188493.5289,1997917.84,-77.94229011,18.04747823
CTI A.5 9.5,188526.0678,1997938.289,-77.94198614,18.04766749
CTI A 7.5,188409.7625,1997951.897,-77.94308567,18.04777361
CTI A 7.75,188427.0823,1997945.292,-77.94292124,18.04771648
CTI A 8,188441.6586,1997933.702,-77.94278195,18.04761396
CTI A 8.5,188469.8565,1997932.274,-77.94251566,18.04760512
CTI A 9,188489.8546,1997943.227,-77.9423286,18.04770687
CTI B.5 7,188401.3212,1997855.909,-77.94315089,18.04690596
CTI B.5 8,188448.2177,1997860.442,-77.94270905,18.04695361
CTI B.5 9,188497.2252,1997858.277,-77.94224628,18.04694111
CTI B.5 9.5,188531.7597,1997872.674,-77.94192257,18.04707603
CTI B 7,188399.302,1997879.538,-77.9431735,18.04711895
CTI B 7.5,188422.6113,1997882.365,-77.94295397,18.04714782
CTI B 8,188444.6323,1997882.14,-77.94274614,18.04714896
CTI B 8.5,188469.7509,1997884.558,-77.94250948,18.0471744
CTI B 9,188495.4419,1997891.337,-77.94226808,18.04723928
CTI B 9.5,188525.8215,1997896.228,-77.94198214,18.04728779
CTI C.5 7,188403.2235,1997808.29,-77.94312579,18.04647639
CTI C.5 8,188454.16,1997807.346,-77.942645,18.04647519
CTI C.5 9,188502.1093,1997811.296,-77.94219314,18.04651773
CTI C 7,188400.0505,1997829.638,-77.94315894,18.04666863
CTI C 7.5,188429.3833,1997829.393,-77.94288211,18.04667064
